standort_id,gattung,art,name,zeit
2,NA,NA,Blank,2021-10-09T09:07:43Z
2,NA,NA,Blank,2021-10-11T14:47:48Z
1,NA,NA,Blank,2021-10-03T06:38:02Z
5,Homo,sapiens,Human,2021-08-27T10:15:45Z
5,Homo,sapiens,Human,2021-10-15T17:39:50Z
5,Homo,sapiens,Human,2021-10-17T16:20:32Z
5,Homo,sapiens,Human,2021-10-24T15:56:51Z
5,Homo,sapiens,Human,2021-09-05T19:38:13Z
7,Homo,sapiens,Human,2021-09-02T16:05:30Z
7,Homo,sapiens,Human,2021-10-08T15:34:39Z
7,Homo,sapiens,Human,2021-10-20T17:20:20Z
7,Homo,sapiens,Human,2021-10-20T17:22:27Z
7,Homo,sapiens,Human,2021-10-29T11:22:22Z
7,Homo,sapiens,Human,2021-10-28T13:18:59Z
8,Homo,sapiens,Human,2021-08-31T12:04:16Z
8,Capreolus,capreolus,European Roe Deer,2021-10-26T18:41:11Z
8,Capreolus,capreolus,European Roe Deer,2021-10-01T02:02:17Z
7,NA,NA,Blank,2021-10-11T11:54:39Z
7,NA,NA,Blank,2021-09-01T13:46:14Z
6,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-01T08:32:06Z
14,Homo,sapiens,Human,2021-08-31T11:17:21Z
1,Sus,scrofa,Wild Boar,2021-10-16T07:27:28Z
13,NA,NA,Blank,2021-09-23T13:11:14Z
13,NA,NA,Blank,2021-09-21T09:33:43Z
13,NA,NA,Blank,2021-09-20T21:47:00Z
13,Vulpes,vulpes,Red Fox,2021-09-04T02:58:51Z
13,NA,NA,Blank,2021-09-09T14:29:24Z
13,Vulpes,vulpes,Red Fox,2021-09-09T12:06:07Z
5,Capreolus,capreolus,European Roe Deer,2021-09-07T20:40:06Z
5,NA,NA,Bird,2021-09-21T10:35:11Z
5,NA,NA,Blank,2021-09-29T15:35:45Z
6,NA,NA,Blank,2021-09-01T12:52:54Z
5,NA,NA,Blank,2021-09-03T22:57:17Z
6,Procyon,lotor,Northern Raccoon,2021-09-01T23:53:59Z
6,Procyon,lotor,Northern Raccoon,2021-09-06T05:44:50Z
6,Sciurus,vulgaris,Eurasian Red Squirrel,2021-09-15T09:49:00Z
7,Sus,scrofa,Wild Boar,2021-09-16T06:24:58Z
6,NA,NA,Bird,2021-10-16T13:44:34Z
13,NA,NA,Blank,2021-10-21T20:23:05Z
13,Meles,meles,Eurasian Badger,2021-10-23T05:49:04Z
13,NA,NA,Bird,2021-10-25T11:36:43Z
6,Capreolus,capreolus,European Roe Deer,2021-10-24T00:54:14Z
6,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-11T15:11:38Z
6,Sus,scrofa,Wild Boar,2021-10-13T05:51:34Z
6,NA,NA,Blank,2021-10-13T10:29:30Z
8,Capreolus,capreolus,European Roe Deer,2021-10-25T06:49:19Z
8,Capreolus,capreolus,European Roe Deer,2021-10-01T02:09:21Z
8,NA,NA,Blank,2021-10-02T21:25:58Z
8,NA,NA,Blank,2021-10-03T20:54:47Z
13,NA,NA,Blank,2021-10-13T00:57:28Z
12,Sus,scrofa,Wild Boar,2021-09-29T23:29:26Z
12,NA,NA,Blank,2021-09-23T07:24:26Z
12,Sus,scrofa,Wild Boar,2021-09-21T22:40:11Z
12,NA,NA,Blank,2021-09-25T14:01:44Z
12,NA,NA,Bird,2021-09-24T12:25:11Z
6,NA,NA,Blank,2021-09-20T05:25:43Z
12,NA,NA,Blank,2021-08-31T11:30:42Z
12,NA,NA,Blank,2021-09-15T05:37:05Z
12,NA,NA,Blank,2021-09-16T07:27:11Z
6,NA,NA,Blank,2021-09-30T13:10:53Z
13,NA,NA,Blank,2021-10-04T14:13:50Z
13,Sciurus,vulgaris,Eurasian Red Squirrel,2021-09-28T09:46:54Z
13,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-07T11:59:58Z
6,Vulpes,vulpes,Red Fox,2021-09-26T20:11:57Z
6,Meles,meles,Eurasian Badger,2021-10-05T00:20:30Z
13,Sus,scrofa,Wild Boar,2021-10-07T06:35:19Z
13,NA,NA,Blank,2021-10-13T10:02:22Z
12,NA,NA,Blank,2021-10-13T14:23:23Z
13,NA,NA,Blank,2021-10-13T12:46:05Z
11,NA,NA,Blank,2021-10-25T08:46:05Z
11,NA,NA,Blank,2021-08-30T10:54:24Z
11,Homo,sapiens,Human,2021-10-24T14:37:29Z
12,NA,NA,Blank,2021-09-30T07:08:34Z
12,Sus,scrofa,Wild Boar,2021-09-16T07:25:28Z
7,Canis,familiaris,Domestic Dog,2021-09-24T18:50:54Z
7,Homo,sapiens,Human,2021-09-24T18:50:54Z
7,Vulpes,vulpes,Red Fox,2021-09-29T22:21:47Z
9,Homo,sapiens,Human,2021-09-19T10:02:24Z
9,NA,NA,Blank,2021-10-03T14:48:09Z
11,Meles,meles,Eurasian Badger,2021-10-11T00:47:38Z
11,NA,NA,Blank,2021-10-14T12:30:42Z
6,Sus,scrofa,Wild Boar,2021-10-13T07:11:51Z
9,NA,NA,Blank,2021-10-26T13:54:39Z
9,NA,NA,Blank,2021-10-26T13:57:00Z
11,Canis,familiaris,Domestic Dog,2021-10-01T10:53:49Z
3,Homo,sapiens,Human,2021-10-29T10:16:09Z
4,NA,NA,Bird,2021-09-03T17:59:34Z
4,NA,NA,Bird,2021-09-07T11:19:20Z
4,NA,NA,Blank,2021-09-12T15:01:06Z
4,NA,NA,Blank,2021-09-16T01:52:29Z
4,Procyon,lotor,Northern Raccoon,2021-09-22T04:39:09Z
4,NA,NA,Blank,2021-10-06T14:21:07Z
11,No CV Result,No CV Result,No CV Result,2021-09-22T11:45:54Z
11,NA,NA,Blank,2021-09-29T22:48:42Z
12,Sciurus,vulgaris,Eurasian Red Squirrel,2021-09-05T17:20:36Z
9,NA,NA,Blank,2021-09-03T10:44:50Z
3,Capreolus,capreolus,European Roe Deer,2021-10-05T01:01:08Z
4,NA,NA,Bird,2021-10-12T17:11:37Z
4,NA,NA,Bird,2021-10-12T15:08:36Z
9,Vulpes,vulpes,Red Fox,2021-10-14T07:02:20Z
12,Meles,meles,Eurasian Badger,2021-09-22T02:59:02Z
3,Capreolus,capreolus,European Roe Deer,2021-10-07T07:22:49Z
4,NA,NA,Bird,2021-10-07T13:09:19Z
4,NA,NA,Bird,2021-10-07T16:34:01Z
9,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-12T12:01:19Z
4,NA,NA,Bird,2021-10-10T17:07:38Z
9,NA,NA,Blank,2021-10-17T12:23:13Z
9,NA,NA,Blank,2021-09-24T01:04:34Z
8,Capreolus,capreolus,European Roe Deer,2021-10-27T05:39:22Z
9,Meles,meles,Eurasian Badger,2021-09-21T00:29:33Z
9,Meles,meles,Eurasian Badger,2021-09-21T21:00:29Z
10,Vulpes,vulpes,Red Fox,2021-10-17T09:47:46Z
10,NA,NA,Bird,2021-10-28T12:24:33Z
10,Homo,sapiens,Human,2021-08-31T12:45:26Z
10,NA,NA,Bird,2021-09-07T09:05:47Z
10,NA,NA,Bird,2021-09-27T18:47:10Z
10,NA,NA,Bird,2021-09-21T09:38:10Z
10,Meles,meles,Eurasian Badger,2021-10-24T06:37:16Z
10,NA,NA,Bird,2021-09-29T10:41:21Z
10,NA,NA,Blank,2021-10-09T14:04:49Z
10,Vulpes,vulpes,Red Fox,2021-09-10T01:06:16Z
10,Sus,scrofa,Wild Boar,2021-10-03T07:36:54Z
10,NA,NA,Bird,2021-10-01T08:59:48Z
10,Meles,meles,Eurasian Badger,2021-10-18T21:04:27Z
10,NA,NA,Blank,2021-09-28T12:14:16Z
10,Capreolus,capreolus,European Roe Deer,2021-09-13T19:36:35Z
9,Vulpes,vulpes,Red Fox,2021-09-29T00:51:16Z
10,Procyon,lotor,Northern Raccoon,2021-09-24T23:49:51Z
8,NA,NA,Blank,2021-09-23T23:16:24Z
12,Meles,meles,Eurasian Badger,2021-09-01T21:53:41Z
13,Procyon,lotor,Northern Raccoon,2021-09-12T05:53:16Z
9,NA,NA,Blank,2021-08-31T05:01:41Z
6,Sus,scrofa,Wild Boar,2021-10-17T05:18:55Z
9,Meles,meles,Eurasian Badger,2021-09-27T20:01:16Z
9,Meles,meles,Eurasian Badger,2021-09-27T20:26:12Z
4,Meles,meles,Eurasian Badger,2021-10-28T04:58:37Z
1,Sus,scrofa,Wild Boar,2021-10-09T07:16:12Z
2,Homo,sapiens,Human,2021-10-29T10:23:48Z
5,Homo,sapiens,Human,2021-09-19T09:24:30Z
7,Homo,sapiens,Human,2021-09-04T13:20:47Z
7,Homo,sapiens,Human,2021-09-07T17:00:51Z
7,Homo,sapiens,Human,2021-09-09T17:20:19Z
7,Homo,sapiens,Human,2021-10-24T10:52:14Z
8,NA,NA,Blank,2021-10-04T13:46:23Z
8,NA,NA,Blank,2021-10-26T06:07:29Z
7,NA,NA,Blank,2021-10-11T11:27:56Z
7,NA,NA,Blank,2021-10-27T12:13:58Z
8,NA,NA,Blank,2021-09-10T00:56:53Z
6,Vulpes,vulpes,Red Fox,2021-09-10T01:12:33Z
6,NA,NA,Blank,2021-09-10T11:27:27Z
1,NA,NA,Bird,2021-10-23T11:47:14Z
13,NA,NA,Blank,2021-09-21T20:13:52Z
13,NA,NA,Blank,2021-09-20T20:12:49Z
13,Capreolus,capreolus,European Roe Deer,2021-09-03T06:09:29Z
13,NA,NA,Blank,2021-09-04T08:48:23Z
13,NA,NA,Blank,2021-09-09T07:43:16Z
13,NA,NA,Blank,2021-09-11T08:23:58Z
5,NA,NA,Blank,2021-09-05T08:47:26Z
5,NA,NA,Blank,2021-09-25T07:39:25Z
6,Vulpes,vulpes,Red Fox,2021-09-05T06:10:29Z
6,NA,NA,Blank,2021-09-15T00:18:32Z
6,NA,NA,Blank,2021-09-18T04:05:56Z
6,NA,NA,Blank,2021-09-18T18:37:14Z
6,NA,NA,Blank,2021-10-13T16:34:27Z
6,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-15T15:07:27Z
6,NA,NA,Bird,2021-10-17T13:37:28Z
6,NA,NA,Blank,2021-10-18T01:30:57Z
13,Capreolus,capreolus,European Roe Deer,2021-10-18T19:18:00Z
13,NA,NA,Blank,2021-10-25T12:30:40Z
6,Vulpes,vulpes,Red Fox,2021-10-10T12:25:19Z
6,NA,NA,Blank,2021-10-10T14:24:01Z
7,NA,NA,Blank,2021-10-09T10:11:25Z
13,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-02T11:27:42Z
13,NA,NA,Blank,2021-10-04T01:09:47Z
12,NA,NA,Blank,2021-09-12T21:39:24Z
12,Homo,sapiens,Human,2021-10-29T10:49:01Z
12,NA,NA,Blank,2021-10-16T12:57:41Z
12,NA,NA,Blank,2021-09-15T14:16:40Z
6,NA,NA,Blank,2021-09-25T13:34:11Z
6,NA,NA,Blank,2021-10-03T15:55:35Z
7,NA,NA,Blank,2021-09-28T03:46:58Z
13,NA,NA,Blank,2021-09-29T09:38:40Z
12,NA,NA,Blank,2021-10-03T08:22:32Z
12,NA,NA,Blank,2021-10-03T16:22:53Z
6,Vulpes,vulpes,Red Fox,2021-10-10T09:15:55Z
12,Capreolus,capreolus,European Roe Deer,2021-10-18T20:16:01Z
13,NA,NA,Blank,2021-10-01T10:59:42Z
13,NA,NA,Blank,2021-10-07T12:51:18Z
12,NA,NA,Blank,2021-10-10T07:26:18Z
13,Sciurus,vulgaris,Eurasian Red Squirrel,2021-10-11T11:21:34Z
13,NA,NA,Blank,2021-10-09T22:32:37Z
13,Sus,scrofa,Wild Boar,2021-10-11T05:51:01Z
14,NA,NA,Blank,2021-09-17T19:23:16Z
13,NA,NA,Blank,2021-09-18T12:23:50Z
13,Vulpes,vulpes,Red Fox,2021-09-19T05:56:29Z
6,NA,NA,Blank,2021-09-22T21:55:25Z
6,Martes,martes,Pine Marten,2021-10-05T00:42:25Z
12,NA,NA,Blank,2021-10-26T18:56:05Z
13,Vulpes,vulpes,Red Fox,2021-09-20T05:47:40Z
12,Sus,scrofa,Wild Boar,2021-10-10T06:46:17Z
12,NA,NA,Blank,2021-09-12T06:55:30Z
12,NA,NA,Blank,2021-09-13T07:57:08Z
11,Sus,scrofa,Wild Boar,2021-10-11T20:49:37Z
11,Vulpes,vulpes,Red Fox,2021-10-14T23:41:59Z
9,Capreolus,capreolus,European Roe Deer,2021-09-01T09:06:16Z
11,NA,NA,Blank,2021-10-07T10:35:47Z
4,Homo,sapiens,Human,2021-08-31T10:28:24Z
4,Homo,sapiens,Human,2021-08-31T10:30:39Z
13,Procyon,lotor,Northern Raccoon,2021-10-13T06:20:53Z
12,NA,NA,Blank,2021-09-21T22:00:06Z
4,NA,NA,Bird,2021-09-02T15:06:56Z
4,NA,NA,Blank,2021-09-13T11:49:26Z
4,NA,NA,Blank,2021-09-28T21:08:38Z
4,NA,NA,Blank,2021-10-03T08:38:53Z
4,NA,NA,Bird,2021-10-03T14:15:30Z
4,NA,NA,Bird,2021-10-04T11:59:37Z
4,NA,NA,Blank,2021-10-06T01:07:41Z
11,NA,NA,Blank,2021-09-28T08:06:08Z
11,NA,NA,Blank,2021-10-21T13:17:26Z
7,NA,NA,Blank,2021-09-21T02:42:11Z
3,Capreolus,capreolus,European Roe Deer,2021-09-20T01:23:45Z
9,Sus,scrofa,Wild Boar,2021-09-16T22:42:44Z
9,NA,NA,Blank,2021-10-12T15:38:44Z
9,NA,NA,Blank,2021-10-25T08:37:11Z
4,NA,NA,Bird,2021-10-11T11:31:16Z
4,NA,NA,Bird,2021-10-07T13:15:09Z
4,NA,NA,Bird,2021-10-07T14:00:44Z
4,NA,NA,Blank,2021-10-10T12:00:01Z
4,NA,NA,Bird,2021-10-13T17:01:42Z
4,NA,NA,Blank,2021-08-31T16:46:24Z
9,Sus,scrofa,Wild Boar,2021-10-17T05:44:15Z
9,Capreolus,capreolus,European Roe Deer,2021-09-24T01:02:24Z
3,NA,NA,Blank,2021-10-07T08:02:33Z
9,Sus,scrofa,Wild Boar,2021-10-04T03:55:48Z
10,NA,NA,Bird,2021-10-28T13:39:00Z
10,NA,NA,Bird,2021-09-04T06:22:36Z
10,NA,NA,Bird,2021-09-07T06:27:34Z
10,NA,NA,Bird,2021-09-17T16:24:55Z
10,NA,NA,Bird,2021-09-15T15:49:26Z
10,NA,NA,Bird,2021-09-14T19:52:51Z
10,NA,NA,Bird,2021-09-22T09:03:14Z
10,NA,NA,Bird,2021-09-19T06:45:48Z
10,NA,NA,Bird,2021-09-22T12:36:35Z
10,NA,NA,Bird,2021-10-09T12:57:51Z
10,NA,NA,Bird,2021-10-01T14:17:26Z
10,NA,NA,Bird,2021-10-12T13:48:40Z
10,NA,NA,Bird,2021-10-09T16:12:22Z
10,NA,NA,Bird,2021-10-28T13:05:33Z
10,NA,NA,Bird,2021-09-23T06:56:22Z
10,NA,NA,Blank,2021-09-04T06:28:32Z
10,Sus,scrofa,Wild Boar,2021-09-16T08:00:31Z
10,NA,NA,Bird,2021-10-07T12:54:30Z
10,Vulpes,vulpes,Red Fox,2021-10-08T23:27:21Z
10,NA,NA,Blank,2021-09-28T10:31:10Z
10,NA,NA,Blank,2021-09-12T08:17:15Z
10,NA,NA,Blank,2021-09-16T15:34:29Z
10,NA,NA,Blank,2021-09-28T07:59:13Z
10,No CV Result,No CV Result,No CV Result,2021-09-04T21:11:09Z
12,No CV Result,No CV Result,No CV Result,2021-09-01T00:50:24Z
11,Felis,catus,Domestic Cat,2021-09-10T01:49:05Z
11,Procyon,lotor,Northern Raccoon,2021-10-24T06:03:14Z
9,Meles,meles,Eurasian Badger,2021-09-27T00:18:55Z
9,NA,NA,Blank,2021-10-09T07:11:43Z
13,Martes,martes,Pine Marten,2021-10-29T00:11:35Z
9,Meles,meles,Eurasian Badger,2021-10-15T21:09:47Z
9,NA,NA,Blank,2021-10-16T01:46:19Z
9,Vulpes,vulpes,Red Fox,2021-10-26T19:51:29Z
3,NA,NA,Blank,2021-08-27T20:29:00Z
4,Meles,meles,Eurasian Badger,2021-09-21T23:20:32Z
4,NA,NA,Blank,2021-10-16T22:20:44Z
4,NA,NA,Blank,2021-10-21T06:02:49Z
4,NA,NA,Blank,2021-10-23T06:04:42Z
4,Meles,meles,Eurasian Badger,2021-10-24T01:43:22Z
1,Capreolus,capreolus,European Roe Deer,2021-10-10T08:43:08Z
5,Homo,sapiens,Human,2021-09-04T18:49:44Z
5,Homo,sapiens,Human,2021-09-17T15:03:17Z
